experience_idx,epoch_idx,avg_acc_seen,acc_current
0,0,0.955400001257658,0.9554
0,1,0.9873600006103516,0.9874
0,2,0.9896600004285574,0.9897
0,3,0.9908800004050136,0.9909
0,4,0.9922200003638864,0.9922
0,5,0.9922400000505149,0.9922
0,6,0.9925600001588464,0.9926
0,7,0.9925400000065565,0.9925
0,8,0.9928000001236796,0.9928
0,9,0.9930400000885129,0.993
0,10,0.9928800002671778,0.9929
0,11,0.9934600000269711,0.9935
0,12,0.9930200004018843,0.993
0,13,0.9935200000181794,0.9935
0,14,0.9938600002788007,0.9939
0,15,0.9936800003051758,0.9937
0,16,0.9935000003315508,0.9935
0,17,0.993300000205636,0.9933
0,18,0.9936800003051758,0.9937
0,19,0.9937599999830127,0.9938
1,0,0.993030000012368,1.0
1,1,0.9924200000241399,1.0
1,2,0.9922800003550947,1.0
1,3,0.9921300001442432,1.0
1,4,0.9918800005689263,1.0
1,5,0.9917500000447035,1.0
1,6,0.9917100006714463,1.0
1,7,0.9916700003668666,1.0
1,8,0.9916400006040931,1.0
1,9,0.991609999909997,1.0
1,10,0.991609999909997,1.0
1,11,0.9915899997577071,1.0
1,12,0.9915300002321601,1.0
1,13,0.9915200006216764,1.0
1,14,0.9914800003170967,1.0
1,15,0.9914300004020333,1.0
1,16,0.9914000006392598,1.0
1,17,0.99138000048697,1.0
1,18,0.9913400001823902,1.0
1,19,0.9912999998778105,1.0
2,0,0.9877733333657185,0.9813
2,1,0.9814600006987652,0.985
2,2,0.98124000026534,0.9847
2,3,0.9812866669769088,0.9852
2,4,0.9821333341921369,0.988
2,5,0.9822133332490921,0.9883
2,6,0.9817866673693061,0.9873
2,7,0.9819666668772697,0.988
2,8,0.9814466675743461,0.9865
2,9,0.9820733337352673,0.9888
2,10,0.9820333331202468,0.9889
2,11,0.9818666673575839,0.9881
2,12,0.9819000003238519,0.9884
2,13,0.981866667047143,0.9886
2,14,0.9820666670178374,0.9888
2,15,0.9820466668655475,0.9889
2,16,0.9816799998904268,0.9877
2,17,0.9820466671759883,0.9889
2,18,0.9818866665785512,0.9884
2,19,0.9817066673810283,0.9879
3,0,0.9834750001318753,0.9863
3,1,0.9833000006619841,0.9875
3,2,0.9838449999224395,0.9885
3,3,0.9837550006341189,0.9883
3,4,0.9839850005228072,0.9885
3,5,0.9839700006414205,0.9886
3,6,0.9841250004246831,0.9888
3,7,0.9839649999048561,0.9885
3,8,0.9839550002943724,0.9885
3,9,0.9842600007541478,0.9887
3,10,0.9842750004027039,0.9889
3,11,0.9847000003792346,0.9897
3,12,0.9846900003030896,0.9888
3,13,0.9851400000043213,0.9896
3,14,0.9850900003220886,0.9892
3,15,0.9854099999647588,0.9897
3,16,0.9853650003205985,0.9898
3,17,0.9855700000189245,0.9898
3,18,0.9861050001345575,0.9895
3,19,0.9861250002868474,0.99
4,0,0.9863679999485612,0.9882
4,1,0.9870800003409386,0.9893
4,2,0.9869400000199675,0.9895
4,3,0.9870080005377531,0.9895
4,4,0.987024000659585,0.9898
4,5,0.9871120000258088,0.9897
4,6,0.9870280001312495,0.9901
4,7,0.9869599999859929,0.9897
4,8,0.9870040001347661,0.99
4,9,0.9871120002120733,0.99
4,10,0.9870280003175139,0.9902
4,11,0.9869600005447865,0.9898
4,12,0.9870920004323125,0.9898
4,13,0.9868680005893111,0.9897
4,14,0.9869760002940893,0.99
4,15,0.9871640004217624,0.9901
4,16,0.9868320006877184,0.9895
4,17,0.9870320005342365,0.9898
4,18,0.9869720004498959,0.9901
4,19,0.987011999823153,0.9899
5,0,0.9841735405595795,0.983
5,1,0.9841223603554069,0.9793
5,2,0.9840239368215624,0.986
5,3,0.9837168565318826,0.984
5,4,0.984382197826734,0.9845
5,5,0.9858979158461615,0.9828
5,6,0.9851302146345212,0.9858
5,7,0.9836459913079129,0.9865
5,8,0.9839373244857875,0.987
5,9,0.985157772803307,0.9843
5,10,0.9843507026279306,0.9865
5,11,0.9843192069634934,0.988
5,12,0.9837680367507398,0.9878
5,13,0.9836066223277322,0.9875
5,14,0.9843388913252361,0.987
5,15,0.9836420547326027,0.988
5,16,0.98379165808752,0.9868
5,17,0.9836499286533089,0.988
5,18,0.9839491354218268,0.9865
5,19,0.9835672528726964,0.9878
