experience_idx,epoch_idx,avg_acc_seen,acc_current
0,0,0.955400001257658,0.9554
0,1,0.9873600006103516,0.9874
0,2,0.9896600004285574,0.9897
0,3,0.9908800004050136,0.9909
0,4,0.9922200003638864,0.9922
0,5,0.9922400000505149,0.9922
0,6,0.9925600001588464,0.9926
0,7,0.9925400000065565,0.9925
0,8,0.9928000001236796,0.9928
0,9,0.9930400000885129,0.993
0,10,0.9928800002671778,0.9929
0,11,0.9934600000269711,0.9935
0,12,0.9930200004018843,0.993
0,13,0.9935200000181794,0.9935
0,14,0.9938600002788007,0.9939
0,15,0.9936800003051758,0.9937
0,16,0.9935000003315508,0.9935
0,17,0.993300000205636,0.9933
0,18,0.9936800003051758,0.9937
0,19,0.9937599999830127,0.9938
1,0,0.9929900001734495,1.0
1,1,0.9922700002789497,1.0
1,2,0.9920500004664063,1.0
1,3,0.9918600004166365,1.0
1,4,0.9916799999773502,1.0
1,5,0.9914699997752905,1.0
1,6,0.9913100004196167,1.0
1,7,0.9912499999627471,1.0
1,8,0.9912499999627471,1.0
1,9,0.9912100005894899,1.0
1,10,0.9911700002849102,1.0
1,11,0.9911400005221367,1.0
1,12,0.9910900006070733,1.0
1,13,0.9910700004547834,1.0
1,14,0.9910500003024936,1.0
1,15,0.990989999845624,1.0
1,16,0.9909300003200769,1.0
1,17,0.9909199997782707,1.0
1,18,0.9909000005573034,1.0
1,19,0.9908300004899502,1.0
2,0,0.9887266668180624,0.9818
2,1,0.986013333623608,0.9849
2,2,0.9835200008625785,0.985
2,3,0.9831533341978987,0.9856
2,4,0.9834333332255483,0.9874
2,5,0.9836666664729515,0.988
2,6,0.9836666670938333,0.988
2,7,0.9835333336765567,0.9879
2,8,0.9835266675800085,0.9867
2,9,0.9839733333016435,0.9885
2,10,0.9838133339459697,0.9888
2,11,0.9838933333133658,0.9883
2,12,0.983720000522832,0.9883
2,13,0.9835933341334263,0.9887
2,14,0.9843933343266448,0.9887
2,15,0.9841066667189201,0.9886
2,16,0.9844466671347618,0.988
2,17,0.9847533336530129,0.9891
2,18,0.9843666674569249,0.9883
2,19,0.9845266671230396,0.9881
3,0,0.9872550005093217,0.9855
3,1,0.988880000077188,0.9873
3,2,0.9888400004711002,0.9882
3,3,0.9888400000054389,0.9882
3,4,0.9901950003113598,0.9885
3,5,0.989585000090301,0.9885
3,6,0.9898500002454966,0.9886
3,7,0.9897850002162158,0.9887
3,8,0.9901050003245473,0.9887
3,9,0.9905150004196912,0.989
3,10,0.9916550002526492,0.9897
3,11,0.9921900001354516,0.9899
3,12,0.9920300000812858,0.9892
3,13,0.9918150000739843,0.9897
3,14,0.9920550002716482,0.9896
3,15,0.9927000002935529,0.9899
3,16,0.9925350002013147,0.9898
3,17,0.992860000114888,0.9898
3,18,0.9927900002803653,0.9898
3,19,0.9929650003323331,0.99
4,0,0.992000000178814,0.9887
4,1,0.9921920002438128,0.9891
4,2,0.9921480001881718,0.9894
4,3,0.9923000001348555,0.9895
4,4,0.9922840000130236,0.9897
4,5,0.9922600002959371,0.9897
4,6,0.9922399999573827,0.9897
4,7,0.9923160002566874,0.9896
4,8,0.9923200002871454,0.9899
4,9,0.9923880000598728,0.99
4,10,0.9922280000522733,0.99
4,11,0.9922360002063215,0.99
4,12,0.9922840001992881,0.9894
4,13,0.992292000260204,0.99
4,14,0.9920720003545285,0.9898
4,15,0.9920040001044981,0.99
4,16,0.9917440001619979,0.9899
4,17,0.9915360002079978,0.9898
4,18,0.991756000299938,0.9903
4,19,0.9918120001675561,0.9901
5,0,0.9876183544885938,0.9815
5,1,0.9898505936464629,0.9823
5,2,0.991185213116125,0.981
5,3,0.9895317024633628,0.9853
5,4,0.9881931462133523,0.9868
5,5,0.990618295056624,0.987
5,6,0.9910946637357395,0.985
5,7,0.9899765753772476,0.987
5,8,0.990279718976011,0.9868
5,9,0.991496230652259,0.9875
5,10,0.9917639416811204,0.9858
5,11,0.9913269425670005,0.9865
5,12,0.9915198521943662,0.987
5,13,0.9916891402410892,0.9868
5,14,0.9908387634614415,0.987
5,15,0.9910041143864831,0.9873
5,16,0.9914214289207004,0.9878
5,17,0.9910277359084426,0.987
5,18,0.9911655285473321,0.9868
5,19,0.9909568712106048,0.9883
