experience_idx,epoch_idx,avg_acc_seen,acc_current
0,0,0.9234800040721893,0.9235
0,1,0.9525400027632713,0.9525
0,2,0.9549800008535385,0.955
0,3,0.953600000590086,0.9536
0,4,0.951179999858141,0.9512
0,5,0.9617800004780293,0.9618
0,6,0.955620002001524,0.9556
0,7,0.8350200057029724,0.835
0,8,0.9557199999690056,0.9557
0,9,0.9526000022888184,0.9526
0,10,0.955740001052618,0.9557
0,11,0.9531400017440319,0.9531
0,12,0.9554200023412704,0.9554
0,13,0.9320600032806396,0.9321
0,14,0.9609200023114681,0.9609
0,15,0.9456200003623962,0.9456
0,16,0.9560599997639656,0.9561
0,17,0.9651600010693073,0.9652
0,18,0.955400001257658,0.9554
0,19,0.9550999999046326,0.9551
1,0,0.9777800012379885,1.0
1,1,0.9777599999179074,0.9999
1,2,0.9777600012384937,1.0
1,3,0.9777800012379885,1.0
1,4,0.9777800012379885,1.0
1,5,0.9777800012379885,1.0
1,6,0.9777800012379885,1.0
1,7,0.9777800012379885,1.0
1,8,0.9777800012379885,1.0
1,9,0.9777800012379885,1.0
1,10,0.9777800012379885,1.0
1,11,0.9777800012379885,1.0
1,12,0.9777800012379885,1.0
1,13,0.9777800012379885,1.0
1,14,0.9777800012379885,1.0
1,15,0.9777800012379885,1.0
1,16,0.9777800012379885,1.0
1,17,0.9777800012379885,1.0
1,18,0.9777800012379885,1.0
1,19,0.9777800012379885,1.0
2,0,0.9511866694083437,0.8884
2,1,0.9243933373169663,0.8179
2,2,0.9310266673564911,0.8377
2,3,0.6974733372529348,0.678
2,4,0.9512600009232605,0.8874
2,5,0.9310600000123183,0.8377
2,6,0.9249733366693059,0.8342
2,7,0.9070066673060259,0.8333
2,8,0.948326668702066,0.8901
2,9,0.9520533350199306,0.8891
2,10,0.9282333378990492,0.8476
2,11,0.9582400024713328,0.9108
2,12,0.949586666499575,0.8967
2,13,0.9612200013361871,0.9175
2,14,0.6901133358478546,0.6482
2,15,0.9429133355927964,0.8761
2,16,0.9329333327089747,0.8511
2,17,0.9504466687018672,0.8965
2,18,0.9571400000713766,0.9113
2,19,0.6910933454831442,0.6489
3,0,0.8858450017869473,0.7711
3,1,0.7986450009047985,0.7648
3,2,0.8899499999824911,0.7737
3,3,0.9345750010106713,0.8844
3,4,0.898500001989305,0.818
3,5,0.9332500018645078,0.8761
3,6,0.9179300019750372,0.8411
3,7,0.8654850050806999,0.793
3,8,0.614005021750927,0.644
3,9,0.9214649996720254,0.8694
3,10,0.9362500016577542,0.8824
3,11,0.9258950024377555,0.8639
3,12,0.8790850043296814,0.8172
3,13,0.9185150015400723,0.8415
3,14,0.9076400038320571,0.8237
3,15,0.9214900021906942,0.8583
3,16,0.9278500018408522,0.8645
3,17,0.9035550043918192,0.8334
3,18,0.940960001811618,0.8864
3,19,0.9352800015185494,0.8759
4,0,0.922640003846027,0.8734
4,1,0.8891000002622604,0.8068
4,2,0.9058000013232231,0.8802
4,3,0.9188280021771789,0.8791
4,4,0.8856240024790167,0.8053
4,5,0.908568003308028,0.8462
4,6,0.9307760016992688,0.9003
4,7,0.9057800009846687,0.8528
4,8,0.8932920008897781,0.8442
4,9,0.9343200026080012,0.9006
4,10,0.9189080016687512,0.8828
4,11,0.6584120094776154,0.6158
4,12,0.90741200260818,0.8565
4,13,0.9046120027080178,0.8447
4,14,0.9305040014791303,0.8889
4,15,0.9367680008988828,0.9043
4,16,0.8738160013454035,0.8039
4,17,0.9047800047323108,0.8441
4,18,0.8307439997792244,0.7605
4,19,0.7326840043067933,0.7334
5,0,0.9346351459309187,0.9149
5,1,0.8954902490431476,0.837
5,2,0.9302021618386536,0.9031
5,3,0.8784275917313502,0.8412
5,4,0.8626916827426266,0.8447
5,5,0.9184307413003484,0.8961
5,6,0.6436802520812683,0.606
5,7,0.8722190534507999,0.821
5,8,0.7943032667715764,0.7243
5,9,0.9342572016061486,0.9169
5,10,0.9351508854464985,0.9144
5,11,0.863742843265902,0.8177
5,12,0.9288321113847771,0.9006
5,13,0.9013680861293959,0.8544
5,14,0.9332690313241383,0.9134
5,15,0.917103996413439,0.8929
5,16,0.8000669344159408,0.768
5,17,0.938139015194279,0.9164
5,18,0.9063168064416337,0.8602
5,19,0.9211039172486901,0.8874
