experience_idx,epoch_idx,avg_acc_seen,acc_current
0,0,0.9691000003367662,0.9691
0,1,0.9877599999308586,0.9878
0,2,0.9896600004285574,0.9897
0,3,0.9910000003874302,0.991
0,4,0.992000000551343,0.992
0,5,0.9922400000505149,0.9922
0,6,0.9925999999977648,0.9926
0,7,0.992860000114888,0.9929
0,8,0.9929400002583861,0.9929
0,9,0.9932000003755093,0.9932
0,10,0.9929800000973046,0.993
0,11,0.9933600001968443,0.9934
0,12,0.9932200000621378,0.9932
0,13,0.9933800003491342,0.9934
0,14,0.9937800001353025,0.9938
0,15,0.9939000001177192,0.9939
0,16,0.9941199999302626,0.9941
0,17,0.9937400002963841,0.9937
0,18,0.9939800002612174,0.994
0,19,0.9939600001089275,0.994
1,0,0.9778199996799231,1.0
1,1,0.9776600003242493,1.0
1,2,0.9777400014754676,1.0
1,3,0.9780300004240416,1.0
1,4,0.9780899999495887,1.0
1,5,0.9783100006934546,1.0
1,6,0.9784100005235814,1.0
1,7,0.9784600013699674,1.0
1,8,0.9784600013699674,1.0
1,9,0.9784700000491284,1.0
1,10,0.9784800005909347,1.0
1,11,0.9784700000491284,1.0
1,12,0.9784999998119019,1.0
1,13,0.9785300014373206,1.0
1,14,0.9785500006582879,1.0
1,15,0.9785600012000941,1.0
1,16,0.9785800004210614,1.0
1,17,0.9785900009628676,1.0
1,18,0.9786200007256411,1.0
1,19,0.9786200007256411,1.0
2,0,0.9856666668007771,0.9728
2,1,0.9840933332840601,0.9678
2,2,0.9839733342329661,0.968
2,3,0.9846866667891542,0.9689
2,4,0.9849200003469983,0.9691
2,5,0.985046667046845,0.9694
2,6,0.9850466667364041,0.9693
2,7,0.985053333764275,0.9694
2,8,0.9851666670292616,0.9696
2,9,0.9851866671815515,0.9697
2,10,0.9851733340571324,0.9696
2,11,0.9852133337408304,0.9698
2,12,0.9851600003118316,0.9697
2,13,0.9852400003001094,0.9699
2,14,0.9851466671874126,0.9697
2,15,0.9851466671874126,0.9697
2,16,0.9851999999955297,0.9699
2,17,0.9852200004582604,0.97
2,18,0.9852000006164113,0.9699
2,19,0.9852666671698292,0.9701
3,0,0.978065000846982,0.9773
3,1,0.9762450009584427,0.9728
3,2,0.9759800005704165,0.9718
3,3,0.9760750005953014,0.972
3,4,0.9760800004005432,0.9721
3,5,0.9761550007387996,0.9724
3,6,0.9761550007387996,0.9725
3,7,0.9761500004678965,0.9725
3,8,0.9761500009335577,0.9725
3,9,0.9761750004254282,0.9726
3,10,0.9762450004927814,0.9727
3,11,0.9762550005689263,0.9727
3,12,0.9762850003316998,0.9728
3,13,0.9762850003316998,0.9728
3,14,0.9763000006787479,0.9728
3,15,0.9763400005176663,0.9729
3,16,0.9763300004415214,0.9729
3,17,0.9763200003653765,0.9729
3,18,0.9763500005938113,0.9729
3,19,0.9763400005176663,0.9729
4,0,0.5609880086034537,0.977
4,1,0.5590040031820536,0.9755
4,2,0.5592760033905506,0.9756
4,3,0.5594600044190884,0.9754
4,4,0.5593200031667948,0.9754
4,5,0.5593160018324852,0.9755
4,6,0.559304003790021,0.9754
4,7,0.5593440037220716,0.9755
4,8,0.5593520037829876,0.9755
4,9,0.5593760021030902,0.9755
4,10,0.5594320021569729,0.9756
4,11,0.5594320025295019,0.9756
4,12,0.5594400022178888,0.9756
4,13,0.5594520039856434,0.9756
4,14,0.5594600033015013,0.9756
4,15,0.5594680029898882,0.9756
4,16,0.5595040034502745,0.9757
4,17,0.5595520041882992,0.9758
4,18,0.5595120023936033,0.9757
4,19,0.559560003504157,0.9758
5,0,0.6332906858249744,0.9735
5,1,0.632861559601168,0.9713
5,2,0.6340229526738236,0.971
5,3,0.6356056003209352,0.9708
5,4,0.6384008238774227,0.972
5,5,0.6382315352807169,0.9723
5,6,0.6370307679462122,0.9733
5,7,0.6358575668138358,0.9713
5,8,0.6367236873870957,0.9735
5,9,0.6378929565418535,0.972
5,10,0.6375583195353242,0.9715
5,11,0.6368969129093225,0.9735
5,12,0.6361252772616769,0.9738
5,13,0.6366803820368402,0.974
5,14,0.6366291997152704,0.9725
5,15,0.6361646435964402,0.972
5,16,0.6353496977917259,0.9733
5,17,0.6350229351807579,0.9735
5,18,0.6354835543740673,0.9738
5,19,0.635704026463733,0.9728
