experience_idx,epoch_idx,avg_acc_seen,acc_current
0,0,0.955400001257658,0.9554
0,1,0.9873600006103516,0.9874
0,2,0.9896600004285574,0.9897
0,3,0.9908800004050136,0.9909
0,4,0.9922200003638864,0.9922
0,5,0.9922400000505149,0.9922
0,6,0.9925600001588464,0.9926
0,7,0.9925400000065565,0.9925
0,8,0.9928000001236796,0.9928
0,9,0.9930400000885129,0.993
0,10,0.9928800002671778,0.9929
0,11,0.9934600000269711,0.9935
0,12,0.9930200004018843,0.993
0,13,0.9935200000181794,0.9935
0,14,0.9938600002788007,0.9939
0,15,0.9936800003051758,0.9937
0,16,0.9935000003315508,0.9935
0,17,0.993300000205636,0.9933
0,18,0.9936800003051758,0.9937
0,19,0.9937599999830127,0.9938
1,0,0.9965200000442564,1.0
1,1,0.9965800000354648,1.0
1,2,0.9968000000808388,1.0
1,3,0.9969200000632554,1.0
1,4,0.996999999973923,1.0
1,5,0.997050000121817,1.0
1,6,0.996999999973923,1.0
1,7,0.9970400000456721,1.0
1,8,0.996870000148192,1.0
1,9,0.9968799999915063,1.0
1,10,0.9969800000544637,1.0
1,11,0.9970700000412762,1.0
1,12,0.9970599999651313,1.0
1,13,0.9970400000456721,1.0
1,14,0.9969699999783188,1.0
1,15,0.9969600001350045,1.0
1,16,0.9971300000324845,1.0
1,17,0.997050000121817,1.0
1,18,0.9971199999563396,1.0
1,19,0.9971900000236928,1.0
2,0,0.9896200001239777,0.9788
2,1,0.9907866669818759,0.9814
2,2,0.9923400001910826,0.9845
2,3,0.9927466668499013,0.9859
2,4,0.9932200000621378,0.987
2,5,0.9934400000299016,0.9876
2,6,0.9934933334589005,0.9872
2,7,0.993946666829288,0.9882
2,8,0.9939866668234268,0.9881
2,9,0.9941066668058435,0.9883
2,10,0.9936466670284668,0.9873
2,11,0.9939866668234268,0.9881
2,12,0.9943666667677462,0.9889
2,13,0.9938733334032198,0.9877
2,14,0.9938733334032198,0.9879
2,15,0.9942066666359702,0.9889
2,16,0.9942266667882601,0.9888
2,17,0.9943600002055367,0.9892
2,18,0.9944266667589545,0.9889
2,19,0.9944066666066647,0.9893
3,0,0.9909150003222749,0.9848
3,1,0.9921450001420453,0.987
3,2,0.9926800002576783,0.9881
3,3,0.9927900000475347,0.9882
3,4,0.9930250002071261,0.9886
3,5,0.9931050001177937,0.9888
3,6,0.9931650002254173,0.9889
3,7,0.9931050001177937,0.9888
3,8,0.9932200002949685,0.9889
3,9,0.9932650000555441,0.9891
3,10,0.9932000003755093,0.9891
3,11,0.9932699999772012,0.9893
3,12,0.9930200001690537,0.9889
3,13,0.9934099999954924,0.9895
3,14,0.9932600001338869,0.9891
3,15,0.9933750000782311,0.9893
3,16,0.9933350002393126,0.9893
3,17,0.9931950001046062,0.9891
3,18,0.9932650002883747,0.9893
3,19,0.993410000228323,0.9895
4,0,0.9919480003416539,0.9882
4,1,0.9922320002689957,0.9889
4,2,0.9924680001102388,0.9892
4,3,0.9924400003626943,0.9892
4,4,0.9924120000563562,0.9893
4,5,0.9922760002315044,0.9887
4,6,0.9924920001067221,0.9894
4,7,0.9925080001354217,0.9897
4,8,0.9924960000440478,0.9895
4,9,0.9925760000944137,0.9896
4,10,0.9925720002502203,0.9895
4,11,0.9924800002947449,0.9893
4,12,0.9923960003070533,0.9889
4,13,0.9924960002303124,0.9891
4,14,0.9925520001910627,0.9896
4,15,0.9924360001459718,0.9891
4,16,0.992468000203371,0.9895
4,17,0.9926120000891387,0.9896
4,18,0.9925920001231134,0.9897
4,19,0.992616000212729,0.9899
5,0,0.9915277258749133,0.9868
5,1,0.992220625844443,0.9823
5,2,0.9916694555492835,0.9858
5,3,0.9923308596746601,0.9818
5,4,0.9915670954417606,0.9863
5,5,0.9923505444087044,0.9855
5,6,0.9921418872186208,0.9865
5,7,0.9920395268910864,0.9865
5,8,0.9921103915339443,0.9858
5,9,0.9917678788963171,0.986
5,10,0.9923347966278268,0.9873
5,11,0.9924174724451231,0.988
5,12,0.9919765361469355,0.9868
5,13,0.9924017244001436,0.9858
5,14,0.9922678689783025,0.987
5,15,0.9924292832345186,0.988
5,16,0.9925237694598709,0.9888
5,17,0.9924410940807458,0.9883
5,18,0.9924174723534593,0.988
5,19,0.9923702289410334,0.9878
